model,average,std
v20_mi20_lasso_a0.1,0.6717,1.3856
v20_mi30_lasso_a0.001,0.7165,0.6786
v20_mi20_lasso_a0.05,0.7387,1.2496
v20_mi15_lasso_a0.1,0.7663,1.6917
v20_mi15_lasso_a0.05,0.8257,1.6206
v20_mi20_lr,0.8972,1.6986
v20_mi20_ridge_a0.001,0.8977,1.6991
v20_mi20_ridge_a0.05,0.921,1.721
v20_mi15_ridge_a0.1,0.9323,2.057
v20_mi15_ridge_a0.05,0.9382,2.038
v20_mi20_ridge_a0.1,0.9424,1.7434
v10_f10_lr,0.951,1.4689
v20_mi15_ridge_a0.001,0.9705,2.0079
v20_mi15_lr,0.9713,2.0073
v20_mi30_lr,1.0667,1.5263
v20_mi30_ridge_a0.001,1.0669,1.5267
v20_mi30_ridge_a0.05,1.0742,1.5459
v20_mi30_ridge_a0.1,1.0819,1.5647
v20_mi20_lasso_a0.001,1.0833,2.0398
v20_f10_lr,1.1313,1.5006
v20_mi10_lr,1.1361,1.6639
v20_mi15_lasso_a0.001,1.1463,2.2721
v20_mi20_ridge_a1,1.1544,2.0068
v20_f20_lr,1.1682,1.9782
v20_mi15_ridge_a1,1.1961,2.2302
v20_mi30_ridge_a1,1.2098,1.8229
v10_mi20_lr,1.2137,2.1762
v20_mi30_lasso_a0.1,1.2137,1.8301
v20_mi30_lasso_a0.05,1.2163,1.7966
v50_f10_ridge_a0.05,1.2471,2.2433
v10_f20_lr,1.3314,1.857
v50_lr,1.3675,2.0991
v50_ridge_a0.05,1.3676,2.0993
v10_mi10_lr,1.4537,1.615
v50_f10_lr,1.5138,2.5096
v50_f10_lasso_a0.05,1.6625,2.534
v50_f20_ridge_a0.05,1.8428,3.3309
v20_lr,1.8646,2.8767
v10_lr,1.906,3.0516
v50_f20_lr,1.9168,3.3786
v50_lasso_a0.05,1.9296,3.1084
noSelection_lr,1.9381,3.1039
v50_mi20_lasso_a0.05,1.9421,2.9867
v50_mi10_lasso_a0.05,1.9897,3.0142
3_PCs_lr,2.0035,3.3696
3_PCs_ridge_a1,2.0038,3.3701
3_PCs_lasso_a1,2.0704,3.4849
5_PCs_lr,2.1658,3.8133
5_PCs_ridge_a1,2.166,3.8137
4_PCs_lr,2.1868,3.6268
v20_mi30_lasso_a1,2.1869,3.8013
4_PCs_ridge_a1,2.187,3.6273
v20_mi20_lasso_a1,2.1875,3.7974
v50_mi10_ridge_a0.05,2.1989,3.5008
7_PCs_lr,2.2056,3.8619
6_PCs_lr,2.2056,3.8619
7_PCs_ridge_a1,2.2058,3.8622
6_PCs_ridge_a1,2.2058,3.8622
5_PCs_lasso_a1,2.2136,3.8739
6_PCs_lasso_a1,2.2192,3.8883
7_PCs_lasso_a1,2.2192,3.8883
v20_mi15_lasso_a1,2.2257,3.8823
4_PCs_lasso_a1,2.2337,3.7119
v20_f10_svr,2.2465,3.8008
2_PCs_lr,2.2545,3.8786
2_PCs_ridge_a1,2.2546,3.879
2_PCs_lasso_a1,2.2976,3.9447
v20_f20_svr,2.4126,4.1864
v50_f20_lasso_a0.05,2.4796,4.657
v50_mi20_ridge_a0.05,2.4817,3.7321
v10_f20_svr,2.4879,4.2743
v50_mi20_lr,2.5264,3.7969
v10_f10_svr,2.6062,4.5013
v20_mi10_svr,2.6381,4.419
v20_mi20_svr,2.6441,4.4433
6_PCs_svr,2.8689,4.79
7_PCs_svr,2.869,4.7901
v10_mi20_svr,2.8976,4.8782
5_PCs_svr,2.9105,4.8813
3_PCs_svr,2.9263,4.9605
4_PCs_svr,2.9425,4.987
v10_mi10_svr,2.957,4.9439
2_PCs_svr,3.1564,5.3705
v50_mi10_lr,3.1978,6.1876
v90_f20_lr,3.3063,5.2781
v90_f20_ridge_a0.05,3.3125,5.3702
v90_mi10_lasso_a0.05,3.4384,5.8419
v90_mi10_ridge_a0.05,3.5883,6.1136
1_PCs_svr,3.6549,5.9059
v90_mi10_lr,3.6555,7.2428
noSelection_svr,3.7453,6.2103
v10_svr,3.7494,6.2227
v20_svr,3.7671,6.2635
v90_mi20_ridge_a0.05,3.776,6.1184
v90_mi20_lr,4.1222,6.7776
v90_mi20_lasso_a0.05,4.2334,7.1703
1_PCs_lasso_a1,4.5073,7.5212
v90_lr,4.5136,7.8214
v90_ridge_a0.05,4.5137,7.8216
1_PCs_ridge_a1,4.5194,7.5409
1_PCs_lr,4.5194,7.541
v90_f20_lasso_a0.05,4.6354,8.0627
v90_lasso_a0.05,4.7907,8.29
v90_f10_lasso_a0.05,6.9365,12.2727
v90_f10_ridge_a0.05,7.1488,13.0717
v90_f10_lr,10.2932,19.7694
