feature,times selected by filters,times deselected by Lasso,times selected in fitted model,times top 3,r
b0762,6,1,5,5,0.9285714285714287
b2318,6,1,5,4,0.9761904761904763
b1535,8,5,3,0,1.0
b1798,6,4,2,2,0.9523809523809524
b0730,2,0,2,2,0.7857142857142858
b1912,6,4,2,1,0.9523809523809524
b3594,3,1,2,1,-0.9523809523809524
b1926,4,2,2,0,-0.9285714285714287
b0649,5,4,1,1,0.9523809523809524
b0123,1,0,1,1,-0.9047619047619048
b1790,1,0,1,1,-0.9761904761904763
b2013,1,0,1,1,0.9285714285714287
b2175,1,0,1,1,0.8095238095238096
b2399,1,0,1,1,0.8333333333333335
b3074,1,0,1,1,-0.9523809523809524
b3083,1,0,1,1,0.9523809523809524
b3619,1,0,1,1,-0.8095238095238096
b0385,1,0,1,0,0.9047619047619048
b0896,1,0,1,0,0.6904761904761906
b1328,1,0,1,0,0.9285714285714287
b1393,1,0,1,0,-0.9523809523809524
b2367,1,0,1,0,0.880952380952381
b2407,1,0,1,0,-0.880952380952381
b3935,1,0,1,0,-1.0
b1432,6,6,0,0,1.0
b3181,6,6,0,0,0.9285714285714287
b1136,3,3,0,0,0.880952380952381
b1175,3,3,0,0,0.9047619047619048
b3089,3,3,0,0,0.8333333333333335
b0067,2,2,0,0,0.9047619047619048
b0421,2,2,0,0,0.9047619047619048
b0527,2,2,0,0,0.8571428571428572
b0862,2,2,0,0,0.9523809523809524
b1607,2,2,0,0,0.8333333333333335
b1973,2,2,0,0,-0.9761904761904763
b2197,2,2,0,0,0.9761904761904763
b2217,2,2,0,0,0.9285714285714287
b2470,2,2,0,0,0.9047619047619048
b2506,2,2,0,0,1.0
b3493,2,2,0,0,0.9047619047619048
b3655,2,2,0,0,0.880952380952381
b0172,1,1,0,0,0.8333333333333335
b0428,1,1,0,0,0.8571428571428572
b0441,1,1,0,0,-0.19047619047619052
b0498,1,1,0,0,-0.6666666666666669
b0555,1,1,0,0,0.9761904761904763
b0647,1,1,0,0,-0.9523809523809524
b0703,1,1,0,0,-0.8333333333333335
b0719,1,1,0,0,-0.9523809523809524
b0732,1,1,0,0,-0.9047619047619048
b0813,1,1,0,0,0.8333333333333335
b0914,1,1,0,0,0.8095238095238096
b0928,1,1,0,0,0.5714285714285715
b0937,1,1,0,0,0.880952380952381
b0996,1,1,0,0,0.9285714285714287
b1123,1,1,0,0,0.880952380952381
b1190,1,1,0,0,0.6904761904761906
b1237,1,1,0,0,0.880952380952381
b1332,1,1,0,0,0.8095238095238096
b1345,1,1,0,0,-0.9285714285714287
b1348,1,1,0,0,0.7380952380952381
b1375,1,1,0,0,-0.9047619047619048
b1479,1,1,0,0,0.9047619047619048
b1601,1,1,0,0,0.880952380952381
b1610,1,1,0,0,0.9523809523809524
b1614,1,1,0,0,-0.8571428571428572
b1663,1,1,0,0,0.9047619047619048
b2064,1,1,0,0,1.0
b2106,1,1,0,0,-0.9285714285714287
b2111,1,1,0,0,-0.8571428571428572
b2173,1,1,0,0,-0.9523809523809524
b2205,1,1,0,0,0.7619047619047621
b2256,1,1,0,0,-0.9047619047619048
b2432,1,1,0,0,0.8571428571428572
b2488,1,1,0,0,-0.9047619047619048
b2617,1,1,0,0,0.8571428571428572
b2634,1,1,0,0,0.8095238095238096
b2723,1,1,0,0,0.8571428571428572
b2813,1,1,0,0,0.7142857142857144
b3233,1,1,0,0,0.9047619047619048
b3256,1,1,0,0,0.5476190476190477
b3333,1,1,0,0,-0.9523809523809524
b3356,1,1,0,0,-0.8095238095238096
b3358,1,1,0,0,0.8571428571428572
b3430,1,1,0,0,0.8095238095238096
b3550,1,1,0,0,-0.9523809523809524
b3586,1,1,0,0,0.9047619047619048
b3705,1,1,0,0,0.8571428571428572
b3731,1,1,0,0,0.8333333333333335
b3813,1,1,0,0,0.9047619047619048
b3865,1,1,0,0,0.5952380952380953
b4140,1,1,0,0,0.8333333333333335
b4157,1,1,0,0,-0.9285714285714287
b4159,1,1,0,0,0.8571428571428572
b4526,1,1,0,0,-0.9047619047619048
