feature,times selected by filters,times deselected by Lasso,times selected in fitted model,times top 3,r
b0762,7,0,7,4,0.9523809523809524
b1798,6,1,5,0,0.9761904761904763
b1535,8,4,4,1,0.9761904761904763
b0730,3,0,3,3,0.8095238095238096
b0067,3,0,3,2,0.9523809523809524
b1432,5,2,3,1,0.9761904761904763
b0421,3,0,3,1,0.880952380952381
b1912,7,4,3,0,0.9761904761904763
b1926,4,1,3,0,-0.9523809523809524
b1310,3,0,3,0,-0.9523809523809524
b0061,2,0,2,2,-0.9523809523809524
b0527,2,0,2,2,0.8095238095238096
b3594,8,6,2,1,-0.9761904761904763
b0647,4,2,2,0,-0.9761904761904763
b1688,4,2,2,0,0.9047619047619048
b1393,3,1,2,0,-0.9761904761904763
b0546,2,0,2,0,-0.9047619047619048
b0649,2,0,2,0,0.9285714285714287
b1175,2,0,2,0,0.9285714285714287
b3655,2,0,2,0,0.9047619047619048
b0158,2,1,1,1,-0.9761904761904763
b2106,2,1,1,1,-0.9523809523809524
b3625,2,1,1,1,-0.880952380952381
b0134,1,0,1,1,0.9523809523809524
b0498,1,0,1,1,-0.6190476190476191
b1123,1,0,1,1,0.9285714285714287
b1365,1,0,1,1,-0.9047619047619048
b2013,6,5,1,0,0.9523809523809524
b3493,5,4,1,0,0.9523809523809524
b1479,3,2,1,0,0.9285714285714287
b1597,3,2,1,0,-0.9523809523809524
b2217,3,2,1,0,0.9523809523809524
b2318,3,2,1,0,0.9523809523809524
b3089,3,2,1,0,0.8571428571428572
b4157,3,2,1,0,-0.9523809523809524
b4159,3,2,1,0,0.880952380952381
b0914,2,1,1,0,0.8333333333333335
b1136,2,1,1,0,0.9047619047619048
b1348,2,1,1,0,0.7142857142857144
b1790,2,1,1,0,-1.0
b2617,2,1,1,0,0.9047619047619048
b2912,2,1,1,0,0.9047619047619048
b3394,2,1,1,0,-0.9523809523809524
b4524,2,1,1,0,-0.9761904761904763
b4696,2,1,1,0,0.9523809523809524
b0063,1,0,1,0,-0.9047619047619048
b0151,1,0,1,0,0.8333333333333335
b0407,1,0,1,0,0.7380952380952381
b0428,1,0,1,0,0.9047619047619048
b0441,1,0,1,0,-0.261904761904762
b0616,1,0,1,0,-0.9047619047619048
b0703,1,0,1,0,-0.8095238095238096
b0862,1,0,1,0,0.9761904761904763
b1011,1,0,1,0,-0.9523809523809524
b1085,1,0,1,0,-0.880952380952381
b1148,1,0,1,0,-0.7857142857142858
b1237,1,0,1,0,0.9285714285714287
b1332,1,0,1,0,0.880952380952381
b1595,1,0,1,0,-0.9761904761904763
b1716,1,0,1,0,0.8095238095238096
b2016,1,0,1,0,-0.7619047619047621
b2952,1,0,1,0,0.8333333333333335
b3121,1,0,1,0,-0.8095238095238096
b3256,1,0,1,0,0.6190476190476191
b3358,1,0,1,0,0.8333333333333335
b3733,1,0,1,0,0.8571428571428572
b3813,1,0,1,0,0.9523809523809524
b3902,1,0,1,0,-0.9761904761904763
b4002,1,0,1,0,-0.8095238095238096
b2580,4,4,0,0,0.9047619047619048
b3181,4,4,0,0,0.9523809523809524
b2173,3,3,0,0,-0.9761904761904763
b2175,2,2,0,0,0.7619047619047621
b2470,2,2,0,0,0.880952380952381
b3233,2,2,0,0,0.9285714285714287
b3412,2,2,0,0,0.8571428571428572
b3619,2,2,0,0,-0.8333333333333335
b3731,2,2,0,0,0.9047619047619048
b0732,1,1,0,0,-0.9285714285714287
b0813,1,1,0,0,0.9047619047619048
b0896,1,1,0,0,0.5714285714285715
b0928,1,1,0,0,0.6190476190476191
b0996,1,1,0,0,0.8571428571428572
b1089,1,1,0,0,0.9523809523809524
b1094,1,1,0,0,0.8571428571428572
b1157,1,1,0,0,-0.9523809523809524
b1168,1,1,0,0,-0.9285714285714287
b1328,1,1,0,0,0.9047619047619048
b1345,1,1,0,0,-0.9523809523809524
b1349,1,1,0,0,-0.9285714285714287
b1375,1,1,0,0,-0.9285714285714287
b1428,1,1,0,0,-0.9285714285714287
b1452,1,1,0,0,0.8333333333333335
b1607,1,1,0,0,0.7857142857142858
b1780,1,1,0,0,0.9047619047619048
b2027,1,1,0,0,-0.9761904761904763
b2049,1,1,0,0,-0.023809523809523815
b2064,1,1,0,0,0.9761904761904763
b2074,1,1,0,0,0.880952380952381
b2205,1,1,0,0,0.6428571428571429
b2235,1,1,0,0,0.9047619047619048
b2356,1,1,0,0,-0.6904761904761906
b2365,1,1,0,0,-0.7142857142857144
b2380,1,1,0,0,-1.0
b2399,1,1,0,0,0.8571428571428572
b2407,1,1,0,0,-0.9047619047619048
b2506,1,1,0,0,0.9761904761904763
b2723,1,1,0,0,0.7619047619047621
b2751,1,1,0,0,0.880952380952381
b2813,1,1,0,0,0.7380952380952381
b2968,1,1,0,0,-0.9761904761904763
b3074,1,1,0,0,-0.9761904761904763
b3101,1,1,0,0,0.9047619047619048
b3262,1,1,0,0,0.880952380952381
b3333,1,1,0,0,-0.9761904761904763
b3356,1,1,0,0,-0.8333333333333335
b3430,1,1,0,0,0.7857142857142858
b3550,1,1,0,0,-0.9761904761904763
b3586,1,1,0,0,0.9285714285714287
b3616,1,1,0,0,0.8333333333333335
b3705,1,1,0,0,0.9047619047619048
b3865,1,1,0,0,0.6428571428571429
b3935,1,1,0,0,-0.9761904761904763
b4086,1,1,0,0,-0.8095238095238096
b4095,1,1,0,0,0.9523809523809524
b4133,1,1,0,0,-0.9761904761904763
b4140,1,1,0,0,0.7857142857142858
b4143,1,1,0,0,0.9047619047619048
b4226,1,1,0,0,0.8571428571428572
b4314,1,1,0,0,0.8333333333333335
b4526,1,1,0,0,-0.9285714285714287
