feature,times selected by filters,times deselected by Lasso,times selected in fitted model,times top 3,r
b1660,8,1,7,5,0.9523809523809524
b0044,7,0,7,4,-0.9761904761904763
b4346,8,2,6,6,0.9761904761904763
b1286,7,3,4,2,1.0
b0277,1,0,1,1,-0.6190476190476191
b0472,1,0,1,1,0.9523809523809524
b0776,1,0,1,1,0.9523809523809524
b1807,1,0,1,1,0.8571428571428572
b2187,1,0,1,1,0.9761904761904763
b2335,1,0,1,1,-0.8095238095238096
b2400,1,0,1,1,0.9761904761904763
b0137,1,0,1,0,-0.9523809523809524
b0189,1,0,1,0,-0.7619047619047621
b1749,1,0,1,0,0.9285714285714287
b1768,1,0,1,0,0.880952380952381
b1858,1,0,1,0,0.8571428571428572
b2542,1,0,1,0,-0.7857142857142858
b2575,1,0,1,0,0.7857142857142858
b4013,1,0,1,0,0.7380952380952381
b1204,6,6,0,0,0.9761904761904763
b0521,2,2,0,0,-0.9761904761904763
b2330,2,2,0,0,1.0
b2435,2,2,0,0,0.9047619047619048
b0055,1,1,0,0,0.9523809523809524
b0238,1,1,0,0,0.9047619047619048
b0343,1,1,0,0,-0.9285714285714287
b0594,1,1,0,0,0.9285714285714287
b0827,1,1,0,0,0.9523809523809524
b0888,1,1,0,0,0.9761904761904763
b1281,1,1,0,0,1.0
b1631,1,1,0,0,0.9761904761904763
b1714,1,1,0,0,0.8333333333333335
b2039,1,1,0,0,0.8571428571428572
b2136,1,1,0,0,-0.880952380952381
b2421,1,1,0,0,0.9523809523809524
b2647,1,1,0,0,-0.9285714285714287
b2989,1,1,0,0,-0.8333333333333335
b3145,1,1,0,0,-0.8333333333333335
b3175,1,1,0,0,0.8571428571428572
b3301,1,1,0,0,1.0
b3315,1,1,0,0,0.9761904761904763
b3450,1,1,0,0,-0.9523809523809524
b3704,1,1,0,0,0.9523809523809524
b3755,1,1,0,0,0.7857142857142858
b4203,1,1,0,0,0.9761904761904763
b4581,1,1,0,0,-0.9047619047619048
