model,average,std
v20_mi30_lasso_a0.001,0.1948,0.0885
v20_mi20_lasso_a0.001,0.2267,0.3169
v20_mi20_lasso_a0.05,0.2792,0.2116
v20_mi15_ridge_a0.001,0.2802,0.386
v20_mi15_lr,0.2817,0.3868
v20_mi30_lr,0.2892,0.1751
v20_mi30_ridge_a0.001,0.2892,0.1753
v20_mi30_ridge_a0.05,0.2917,0.1859
v20_mi15_ridge_a0.05,0.2929,0.3157
v20_mi30_ridge_a0.1,0.2943,0.1964
v20_mi15_lasso_a0.001,0.2949,0.2536
v20_mi15_ridge_a0.1,0.3108,0.2882
v20_mi20_lasso_a0.1,0.3255,0.2345
v20_mi30_ridge_a1,0.3364,0.3345
v50_f20_ridge_a0.05,0.3428,0.4068
v20_mi15_lasso_a0.1,0.3485,0.2634
v20_mi30_lasso_a0.05,0.3542,0.3117
v20_mi15_lasso_a0.05,0.356,0.2382
v20_mi20_lr,0.3592,0.3309
v20_mi20_ridge_a0.001,0.3594,0.3316
v20_mi30_lasso_a0.1,0.3622,0.2946
v20_mi20_ridge_a0.05,0.3689,0.363
v20_mi20_ridge_a0.1,0.3777,0.3923
v50_f20_lr,0.3924,0.4369
v20_mi15_ridge_a1,0.4405,0.5664
v20_mi20_ridge_a1,0.459,0.6428
v20_f10_lr,0.4699,0.3914
v50_f20_lasso_a0.05,0.4757,0.4627
v10_mi20_lr,0.5049,0.5782
v20_mi10_lr,0.5105,0.3131
v20_f20_lr,0.5405,0.4545
v50_f10_lr,0.5546,0.7431
v50_f10_ridge_a0.05,0.5748,0.6576
v10_mi10_lr,0.5888,0.3769
v50_lr,0.5985,1.034
v50_ridge_a0.05,0.5985,1.034
v10_f20_lr,0.5996,0.8559
v50_mi20_ridge_a0.05,0.6069,0.7991
v50_mi20_lr,0.6097,0.7996
v50_mi20_lasso_a0.05,0.6404,0.7984
v50_mi10_lasso_a0.05,0.6964,0.9138
3_PCs_lr,0.7099,1.0066
3_PCs_ridge_a1,0.71,1.0068
v10_lr,0.7107,1.0646
v50_mi10_ridge_a0.05,0.7214,1.0371
noSelection_lr,0.7229,1.0954
5_PCs_lr,0.7301,1.0375
5_PCs_ridge_a1,0.7302,1.0377
3_PCs_lasso_a1,0.7321,1.059
6_PCs_lr,0.7395,1.0782
7_PCs_lr,0.7395,1.0782
7_PCs_ridge_a1,0.7396,1.0784
6_PCs_ridge_a1,0.7396,1.0784
v20_lr,0.7454,1.1572
7_PCs_lasso_a1,0.7456,1.0859
6_PCs_lasso_a1,0.7456,1.0859
5_PCs_lasso_a1,0.7504,1.0833
2_PCs_lr,0.7705,1.12
2_PCs_ridge_a1,0.7705,1.1202
v50_f10_lasso_a0.05,0.7739,1.0056
v50_mi10_lr,0.776,1.1129
4_PCs_lr,0.78,1.1247
4_PCs_ridge_a1,0.7801,1.1249
2_PCs_lasso_a1,0.7868,1.163
4_PCs_lasso_a1,0.7953,1.164
v50_lasso_a0.05,0.8146,1.1435
v20_f20_svr,0.8663,1.5157
v20_f10_svr,0.8676,1.5663
v20_mi15_lasso_a1,0.9189,1.5696
v20_mi30_lasso_a1,0.9209,1.572
v20_mi20_lasso_a1,0.9256,1.5699
v20_mi10_svr,0.9595,1.7646
v10_f20_svr,0.9834,1.776
v20_mi20_svr,0.999,1.8236
v10_f10_svr,1.0226,1.9602
6_PCs_svr,1.0919,1.9248
7_PCs_svr,1.0919,1.9249
v10_mi20_svr,1.0998,1.97
3_PCs_svr,1.1035,2.0285
4_PCs_svr,1.1071,2.0459
5_PCs_svr,1.1071,1.9924
v10_f10_lr,1.1311,1.7217
v10_mi10_svr,1.1549,2.1209
2_PCs_svr,1.1569,2.1999
v90_mi20_ridge_a0.05,1.2163,1.7824
v90_mi10_lasso_a0.05,1.239,1.928
v90_mi20_lr,1.2523,1.752
v90_f20_ridge_a0.05,1.3211,2.2169
v10_svr,1.354,2.2247
noSelection_svr,1.3541,2.2201
v20_svr,1.3548,2.2426
v90_mi10_ridge_a0.05,1.3717,2.1501
v90_f20_lr,1.3818,2.2333
1_PCs_svr,1.3943,2.3106
v90_mi20_lasso_a0.05,1.4393,2.67
v90_f20_lasso_a0.05,1.4694,2.7139
v90_lr,1.5504,2.8908
v90_ridge_a0.05,1.5504,2.8907
1_PCs_lasso_a1,1.5736,2.5045
1_PCs_ridge_a1,1.5776,2.5083
1_PCs_lr,1.5776,2.5083
v90_mi10_lr,1.5927,2.3337
v90_lasso_a0.05,1.6838,3.09
v90_f10_lasso_a0.05,2.2353,4.2298
v90_f10_ridge_a0.05,2.238,3.822
v90_f10_lr,2.9824,5.0875
