model,average,std
v10_f10_lasso_a0.05,0.0988,0.1006
v10_f5_lasso_a0.05,0.1262,0.1652
v10_f10_lasso_a0.1,0.1342,0.154
v10_f5_ridge_a0.05,0.1384,0.2019
v10_f5_ridge_a0.1,0.1457,0.2036
v10_f15_lasso_a0.05,0.1459,0.1214
v10_f5_lasso_a0.001,0.1524,0.2032
v10_f10_ridge_a0.001,0.1648,0.0643
v10_f10_lr,0.1659,0.0655
v10_f10_lasso_a0.001,0.1687,0.0739
v10_f15_lasso_a0.1,0.1694,0.1596
v10_f10_ridge_a0.05,0.171,0.0867
v10_f5_lasso_a0.1,0.1787,0.2625
v10_f10_ridge_a0.1,0.1794,0.1485
v10_f15_lasso_a0.001,0.1886,0.1722
v10_f5_ridge_a1,0.2508,0.4297
v10_f10_ridge_a1,0.2726,0.3719
v50_lr,0.2773,0.3323
v50_ridge_a0.05,0.2773,0.3324
noSelection_lr,0.2881,0.3809
v10_lr,0.2914,0.3905
7_PCs_lr,0.2971,0.4701
6_PCs_lr,0.2971,0.4701
7_PCs_ridge_a1,0.2972,0.4703
6_PCs_ridge_a1,0.2972,0.4703
v20_lr,0.2985,0.3906
5_PCs_lr,0.3104,0.5037
5_PCs_ridge_a1,0.3104,0.5039
4_PCs_lr,0.3149,0.4996
4_PCs_ridge_a1,0.315,0.4998
5_PCs_lasso_a1,0.331,0.5675
7_PCs_lasso_a1,0.331,0.5675
6_PCs_lasso_a1,0.331,0.5675
4_PCs_lasso_a1,0.3338,0.5663
v10_f15_ridge_a0.1,0.3372,0.5588
v10_f15_ridge_a1,0.3432,0.6064
v50_f20_lasso_a0.05,0.3451,0.5264
v10_f15_ridge_a0.05,0.3484,0.5476
v10_f20_lr,0.3488,0.619
2_PCs_lr,0.3583,0.5955
2_PCs_ridge_a1,0.3583,0.5957
v10_f15_ridge_a0.001,0.3669,0.5348
v10_f15_lr,0.3674,0.5345
3_PCs_lr,0.3714,0.6088
3_PCs_ridge_a1,0.3714,0.6089
2_PCs_lasso_a1,0.3755,0.6547
3_PCs_lasso_a1,0.3814,0.6589
v50_f20_ridge_a0.05,0.4075,0.7127
v50_lasso_a0.05,0.4105,0.5843
v50_f20_lr,0.4109,0.7108
v20_mi20_lr,0.4342,0.5974
v10_mi20_lr,0.4396,0.5528
v20_f20_lr,0.4455,0.8243
v20_f10_lr,0.4574,1.0358
v50_mi20_lasso_a0.05,0.467,0.803
v10_f5_ridge_a0.001,0.4865,0.6376
v50_mi20_ridge_a0.05,0.4916,0.883
v50_mi20_lr,0.493,0.8835
v50_mi10_lasso_a0.05,0.517,0.8463
v10_mi10_lr,0.543,0.586
v90_lr,0.5473,0.8988
v90_ridge_a0.05,0.5474,0.8991
5_PCs_svr,0.5559,1.1565
4_PCs_svr,0.5612,1.1842
2_PCs_svr,0.5695,1.2034
6_PCs_svr,0.5732,1.1701
7_PCs_svr,0.5733,1.1703
3_PCs_svr,0.5757,1.1933
v50_f10_lasso_a0.05,0.5957,1.1572
v10_f5_lr,0.5966,0.7787
v50_f10_lr,0.599,1.0403
v50_f10_ridge_a0.05,0.6036,1.1344
v20_mi10_lr,0.6253,1.1081
v20_f20_svr,0.6767,1.4818
v10_mi10_svr,0.6846,1.5374
v20_mi10_svr,0.6894,1.5452
v20_f10_svr,0.7012,1.5445
v10_f20_svr,0.7073,1.5678
v20_mi20_svr,0.7214,1.4775
v90_f10_ridge_a0.05,0.7315,1.4471
v90_mi10_lasso_a0.05,0.7382,1.4232
v90_f20_lasso_a0.05,0.746,1.4222
v90_lasso_a0.05,0.7484,1.4722
v10_mi20_svr,0.7491,1.5749
v90_f10_lasso_a0.05,0.7659,1.5406
v90_mi20_lasso_a0.05,0.7692,1.4428
v10_f10_svr,0.7696,1.6929
v20_svr,0.8055,1.6442
v10_svr,0.8106,1.6487
noSelection_svr,0.8108,1.6486
v10_f5_lasso_a1,0.818,1.662
v10_f15_lasso_a1,0.818,1.662
v10_f10_lasso_a1,0.818,1.662
1_PCs_lasso_a1,0.8214,1.6807
1_PCs_ridge_a1,0.8244,1.6855
1_PCs_lr,0.8244,1.6855
v90_f20_ridge_a0.05,0.8553,1.5515
v90_mi10_ridge_a0.05,0.8671,1.3976
v50_mi10_ridge_a0.05,0.8903,1.6393
1_PCs_svr,0.959,1.9127
v90_mi20_ridge_a0.05,0.9783,1.6314
v90_mi10_lr,0.988,1.6393
v90_f10_lr,0.9909,1.7087
v90_mi20_lr,1.003,1.7088
v90_f20_lr,1.0766,2.1102
v50_mi10_lr,1.1397,1.9289
